"题目","朝代","作者","内容"
"庠生严启先妻张孝悯题辞八首 其二","清末民国初","曹家达","华簪早岁擅铅黄，检取诗歌入缥缃。往事从头不堪说，断缣遗墨镂金箱。"
"庠生严启先妻张孝悯题辞八首 其三","清末民国初","曹家达","君家家督负贤声，阿大中郎两剂平。好是令人追忆处，内庭趋步最分明。"
"庠生严启先妻张孝悯题辞八首 其四","清末民国初","曹家达","中厨粗饭孝廉家，荆布门庭感岁华。针黹频年供食指，春风羞上鬓边花。"
"庠生严启先妻张孝悯题辞八首 其五","清末民国初","曹家达","独怜四德未寒灰，兄嫂经年尚述哀。更有兄家小儿女，閒来犹盼小姑回。"
"庠生严启先妻张孝悯题辞八首 其六","清末民国初","曹家达","昭清教德诵遗徽，慈母膏肓药力微。独向神前乞身代，夜深红泪满罗衣。"
"庠生严启先妻张孝悯题辞八首 其七","清末民国初","曹家达","剜肉为汤未忍言，萱堂阿母倍销魂。一从戊戌康强后，玉臂年年痛剪痕。"
"庠生严启先妻张孝悯题辞八首 其八","清末民国初","曹家达","春草青青意欲消，表扬潜德待云轺。自嫌剩有须眉在，愧对缇萦赋大招。"
"子夜歌赠叶静山二首 其一","清末民国初","曹家达","叹如水上萍，侬作陌上花。花落还旧根，风萍岂有涯。"
"子夜歌赠叶静山二首 其二","清末民国初","曹家达","夕风起庭角，吹我梧桐树。梧桐凋有时，颜色可如故。"
"题山水画扇","清末民国初","曹家达","一径入村落，危桥断木支。苍山淩倒影，疏树弄寒漪。幽意随孤艇，秋光上短篱。何人解尘网，归卧白云陲。"
"汉江道中","清末民国初","曹家达","日暮长风送雁行，东流扬子九回肠。梦和春信回江左，人傍寒潮过汉阳。同乘公孙见兄弟，思归帝子感英皇。长沙鵩鸟嗟何及，指望楼船睨旧乡。"
"春雪","清末民国初","曹家达","误到长沙地，朝朝白雪歌。家书连水远，归梦隔云多。閒掇毛锥子，寒邀金叵罗。应知弹铗者，日夕感长河。"
"古意三首 其一","清末民国初","曹家达","孤星炯遥夜，檐角垂微光。开轩纳夕爽，仰观心徬徨。徬徨复太息，之子天一方。兴言往从之，日暮河无梁。不见牛女星，河汉遥相望。"
"古意三首 其二","清末民国初","曹家达","冲霄企晨风，致远有六驳。人生不得意，如鼠入牛角。椒兰世所忌，遭命多蹇剥。素心要可亮，方轨在称娖。野物故不牺，自昔卑杂学。抱质与世游，焉能变混浊。愿得如云翼，逍遥游鸾朔。"
"古意三首 其三","清末民国初","曹家达","浮观太虚表，杳霭同云飞。东风为簸扬，佳气变朝晖。晦明会有时，各随运数归。淮阴感一饭，秦相衔牛衣。穷巷讥笑腾，五都姓氏稀。蒲轮良偶尔，千载流音徽。"
"次张益生孝廉韵二首 其一","清末民国初","曹家达","万古江山恨，苍茫落酒杯。残年为客尽，华发向人催。边事开戎索，炎荒论楚才。独怜曹子建，放废不胜哀。"
"次张益生孝廉韵二首 其二","清末民国初","曹家达","独立江船晚，翛然自咏诗。如何今夕话，顿减故园思。时局方龙战，豪情慕虎痴。衡湘回首处，慷慨有馀悲。"
"和陈莼生茂才","清末民国初","曹家达","侧身无定所，鸥鹭托圆沙。今古几天地，升沉各一家。微吟还积草，枯管漫生花。惆怅江南别，春来感蔓华。"
"奉和益生赠言","清末民国初","曹家达","道上几青眼，偕行只弟兄。何图共欣赏，及此慰平生。险语沧溟破，高歌金石声。明朝相送处，浑欲不胜情。"
"次益生韵二首 其一","清末民国初","曹家达","客里牢愁君代遣，小诗投合便成奇。春山烟绕芜城树，正是江南二月时。"
"次益生韵二首 其二","清末民国初","曹家达","江上逢君江上别，天涯从此判云泥。一声长啸吴山晚，两岸黄莺不住啼。"
"自长沙回次鲤南四弟家修苏台邸舍题壁","清末民国初","曹家达","岁月滔滔胡不归，天涯沉滞素心违。早花如梦前尘隔，芳草无言旧绪非。传信江鱼应有恨，背人山鸟自孤飞。要知世路羊肠险，谈笑安排作阱机。"
"送鲤南之苏州即次留别韵","清末民国初","曹家达","天地一何窄，风尘此壮游。骅骝发清晓，鹞隼健高秋。别意林花谢，雄文海气遒。男儿好自立，莫漫侣閒鸥。"
"寄怀陈纯生茂才","清末民国初","曹家达","江南何事客心摧，多少词人北面来。桃叶有情还唤渡，雨花无恙独登台。字含霜锷成诗卷，春送云山入酒杯。若问安危天下计，湘中应赖出群材。"
"定山上塳","清末民国初","曹家达","积雨林泉迥，春云四山静。回风山外来，夕阳数峰影。"
"春日郊行杂感","清末民国初","曹家达","回首频年意绪违，车尘道上感芳菲。东风懒送斜阳过，春意浓随野蝶飞。长路人行花后发，故园尘冷燕来稀。悬知白首严亲健，西望门闾未忍归。"
"咏怀","清末民国初","曹家达","幽意值所适，冶游良未然。木末摇东风，溪水鸣溅溅。人心抱幽默，相激各自贤。岂不愿安静，逼抑成沸煎。不见魏唐睢，挺剑秦王前。"
"将之申浦舟中作","清末民国初","曹家达","芳草无情接远天，故园西望思绵绵。东风送雨春潮晚，数点桃花飞上船。"
"轮舶夜行喧填奋发，有惊雷怒涛之声。枕上赋此以寄旅怀","清末民国初","曹家达","噫气发刁调，灵胥怒未消。鱼龙捣夜窟，风雨战春潮。湖树和云重，楼船赴海遥。欲将归梦续，灯火记来宵。"
"申浦旅舍感怀二首 其一","清末民国初","曹家达","寥落心情与世违，烟波江上憺忘归。压帘花雨閒愁渍，邻巷车尘习静非。独夜鳏鱼才耿耿，芳春孤燕自飞飞。故园此日相怜误，小病乡书近更稀。"
"申浦旅舍感怀二首 其二","清末民国初","曹家达","旅馆沉沉夜漏迟，天涯憔悴两心知。烹茶炉盏违今日，尝药情怀异昔时。芳草生愁三月雨，春蚕未老一腔丝。顾山回首乡关近，红豆花开重有思。"
"送李颂侯法部之日本","清末民国初","曹家达","十载相暌似梦中，闻声各讶姓名同。可堪话旧离亭雨，已是催人破浪风。析木西垂天汉碧，扶桑东渡海潮红。浮槎倘获支机石，留补娲皇未奏功。"
"前咏怀作未尽所言，续成二章 其一","清末民国初","曹家达","小人贪近市，君子怀瑾瑜。出门苦不偶，路鬼为揶揄。形貌故相厚，闻言代嗟吁。受恩良独难，貌厚心迹殊。岂不畏蛇蠍，卒卒难改涂。黄雀无六翮，焉能保孱躯。"
"前咏怀作未尽所言，续成二章 其二","清末民国初","曹家达","三言始投杼，曾母岂不贤。三人成市虎，里耳殊茫然。嗟彼谗嫉人，赠以豹虎篇。驱车出门去，隐隐何田田。甘人有参目，靡散惊雷渊。飘风从天来，踟蹰大道边。"
"郊行偶成","清末民国初","曹家达","故园西望即天涯，荏苒流光转物华。欲怪乡心和柳絮，东风吹落道旁车。"
"申浦感怀次张雄伯同年韵二首 其一","清末民国初","曹家达","江海渺无极，鸡栖感慨多。纵非人事改，还奈客愁何。梦冷花花界，诗成草草歌。临风惆怅处，归思隔长河。"
"申浦感怀次张雄伯同年韵二首 其二","清末民国初","曹家达","独夜觉无侣，疏灯照苦吟。思和残雨断，魂傍晓钟沉。芳草不遗远，绨袍空好音。君山试回首，寥落望乡心。"
"端阳日，申浦羁次漫书二首 其一","清末民国初","曹家达","回首乡关花满林，江潭全变树森森。愤时精卫思填海，出水蜉蝣待感阴。萧艾绿垂黄歇浦，榴花红照屈平心。客中且觅蒲觞醉，莫遣羁怀动藁砧。"
"端阳日，申浦羁次漫书二首 其二","清末民国初","曹家达","沪上高楼接大荒，水天无际思茫茫。中原老病三年艾，辽海归心一苇航。方是羹枭佐欢伯，不曾盐骥脱孙阳。暮江烟树乡书远，收拾閒愁托雁行。"
"和欧阳香蝶暮游虎邱","清末民国初","曹家达","贞娘渺何所，落日满苏台。溪水依人静，山光抱影来。钟催啼鸟歇，林锁野花开。回首登临处，长吟一俯徊。"
"自申浦赴南沙","清末民国初","曹家达","无恙江潮去复回，东风尘迹已寒灰。如何春水桃花片，都化流萤照夜来。"
"对镜和兰韵女士","清末民国初","曹家达","斜展秋波亸鬓丝，朝来无力强支颐。偶寻残梦凝妆后，无限春愁不语时。槅上小蜂名似我，奁中香草合相思。惜花情绪年来惯，减却容光总不知。"
"拟长相思二首 其一","清末民国初","曹家达","长相思，江东浔。秋风要眇吹树林，落日团团山气阴。飘萍无根天无柱，欲归不得江水深。江水秋来深几尺，盈盈十丈摇空碧。"
"拟长相思二首 其二","清末民国初","曹家达","流黄机，中夜寒，欲落不落星阑干。美人天际双汍澜，行人路远空长叹。江潭日夕风和雨，前度行人从此去。"
"秋柳四章次渔洋山人韵 其一","清末民国初","曹家达","秋来随地易销魂，况是天涯忆里门。野渚含烟新别梦，东风吹雨旧啼痕。寒生九曲青溪水，愁落三家乌桕村。莫向板桥寻往迹，众芳消歇不须论。"
"秋柳四章次渔洋山人韵 其二","清末民国初","曹家达","青丝踠地早经霜，憔悴秋容照野塘。眉黛不修慵晓镜，舞衣全晕怨空箱。不堪旧意牵张绪，难得纤腰奉楚王。肯信章台街畔月，萧萧凉影异春坊。"
"秋柳四章次渔洋山人韵 其三","清末民国初","曹家达","昨宵邻巷捣寒衣，陌上青青作絮非。金缕歌残人去久，玉门书到雁来稀。从教心事长条绾，枉任芳时落杵飞。江上迢遥数归计，风风雨雨不曾违。"
"秋柳四章次渔洋山人韵 其四","清末民国初","曹家达","往日丰姿剧可怜，垂头无语怨荒烟。极天关塞馀羌笛，小劫池台感脱绵。未老桓公新甲帐，思归属国旧丁年。闺中少妇如相问，瘦到斜阳水驿边。"
"题欧阳香蝶拈花独立图","清末民国初","曹家达","东风溪水生白沙，苏台杨柳啼春鸦。踏春女郎歌落花，青骢少年多于麻。主人避嚣息闉阇，徒步春城寻馆娃。美人如花颜如霞，日夕不遇空还家。肠中辘辘从风车，采芳欲寄天无涯。愿郎为橑妾为艖，时不过兮凤在笯。披君图，饮君酒，人生百岁争一斗，安得春华常在手。"
"寒柳追和泰兴姚筱宾孝廉四首 其一","清末民国初","曹家达","冻烟萧飒短长堤，絮果萍因化作泥。城上乌飞初落叶，天涯人远莫生稊。翠眉扫尽愁还歛，华发无多剪不齐。旧意苍茫无觅处，山阳邻笛已凄迷。"
"寒柳追和泰兴姚筱宾孝廉四首 其二","清末民国初","曹家达","无情画里倍魂销，摇落西风强半凋。寄恨可曾吟白纻，伤心何处不红桥。夕阳倒挂连云重，野水逶迤带雪描。瘦尽春来好风格，岂宜重问沈郎腰。"
"寒柳追和泰兴姚筱宾孝廉四首 其三","清末民国初","曹家达","历鍊冰霜强自持，畏人错爱毁芳姿。剧怜东道悲秋客，又感残年惜别时。歌尽白花魏庭树，梦寒青草谢家池。马蹄应识寻芳路，野渡长嘶痛远离。"
"寒柳追和泰兴姚筱宾孝廉四首 其四","清末民国初","曹家达","华年渺渺水东流，飘泊人如不系舟。剩有长条绵远思，更无飞絮伴清愁。暗摇尘影堆诗卷，懒送乡心入酒楼。佳况每从枯淡转，春风又到御沟头。"
"凉秋吟二首 其一","清末民国初","曹家达","残梦和烟不知处，秋虫絮尽苔花雨。泪化秋棠不上楼，捲帘西望天尽头。天尽头，暮江曲，阑干十二人如玉。我所思兮望不见，愿掬柔肠付归雁。"
"凉秋吟二首 其二","清末民国初","曹家达","月色欲尽烟光溥，墙阴络纬催早寒。灯花夜深落红豆，黄金为盏珠为盘。悲凉秋，凉秋诚寡欢。星河案户初阑干，欲变关山照绮纨。佳人迢迢惜羽翰，欲往从之行路难。"
"东洋人卖药歌","清末民国初","曹家达","秦皇遣使入海求神仙，穷崖荒岛无人烟。安期不救徐福死，残骸零落东海边。童男丱女自相偶，扶桑种族维亿千。然后采取三神山上不死之药入中国，何人购置秦皇前。就令祖龙朽骨挺然起，阿房焦土亦可怜。沙邱得死乃幸事，轵道降王已万世。"
"秋虫二首 其一","清末民国初","曹家达","草露湿人影，天风吹树根。遥情澄爽夕，愁绪入秋门。月落易成忆，灯阑每断魂。谁怜岑寂意，无梦又黄昏。"
"秋虫二首 其二","清末民国初","曹家达","哀乐并中岁，凉秋感鬓丝。况当淆絮语，无处慰相思。木末层云暮，莓墙暗雨时。天涯芳草歇，羁客欲何之。"
"出门行","清末民国初","曹家达","白日未出天陨霜，北风驱雁秋草黄。主人暇日不得意，鞭丝在手衣在箱。送君出门马行疾，关山不见林木长。劝君客中免烦忧，莫遣朱颜坐凋丧。及时垂念小儿女，归来衣绣照容光。"
"留别鲤南四弟","清末民国初","曹家达","天涯芳草几行迹，江上青山无限情。他日登高苦相忆，别风淮雨满江城。"
"咏怀拟长吉体","清末民国初","曹家达","虎人养虎戚自贻，天帝醉梦佯不知。叩关人诉虎人罪，虎有大力詟天吏。黄河之水不可澄，茧丝棼乱令乃惩。华灯错卮勉今夕，铄金众口自古昔。"
"行路难拟鲍明远八首 其一","清末民国初","曹家达","黄鹄有六翮，逍遥厉风游。大区人生负奇气，焉能郁郁甘囚奴。束带入京洛，酌酒浮江湖。茫茫中野一千里，方舟有缆马有刍。手持太阿不忍割，遂令阮籍悲穷途。"
"行路难拟鲍明远八首 其二","清末民国初","曹家达","长安少年手持明月珠，道逢采桑妇，直前抛向红罗襦。妇言客意何区区，秋胡有妇妇有姑。家有七尺之珊瑚，黄金白璧倾大都。兰灯夜灿海马镜，麝烟朝晕博山炉。良人求官妾含荼，回文织就肠泪枯。客还将去别作图，暗陬按剑无地无。"
"行路难拟鲍明远八首 其三","清末民国初","曹家达","城头日暮坎坎鼓，东飞伯劳惜瘁羽。此时窦家伯玉妻，飞蓬膏沐怨其雨。丈夫意气昔自雄，叱咤麋鹿陋群处。关塞音书年复年，梧桐金井秋如缕。幽房绿绮中夜弹，寒虫切切暗相语。山中金石刓有期，贱妾坚韧自终古。"
"行路难拟鲍明远八首 其四","清末民国初","曹家达","共工头触西北天，女娲练石补不全。离合古无怨，星河当得长桥填。行子出门车辘辘，出门割爱中道牵。便向天边化好月，满照君怀能几年。"
"行路难拟鲍明远八首 其五","清末民国初","曹家达","君不见秋边月，前夜团团今又缺。君不见春江花，去年尘土今丹华。人生荣落相迭代，与君长命歌上耶。兀然中道发谗搆，虺之勿备将为蛇。田单驰书乐毅出，金台摇落空咨嗟。"
"行路难拟鲍明远八首 其六","清末民国初","曹家达","鸡鸣天欲曙，短衣驰马出门去。少年奇气畏摧折，安能废弃等败絮。朝先鸾皇戒，夕息云霓御。芳时暧暧告将罢，惆怅幽兰独延伫。"
"行路难拟鲍明远八首 其七","清末民国初","曹家达","鹏鸟负奇翮，羞与黄雀群。扶遥羊角绝有力，茫洋怒举垂天云。稿砧鉴此绝裾去，不惜椒兰明镜分。江湖岁晏少舟楫，乱流芳草生夕曛。星河在天月在树，肠断思君梦来处。"
"行路难拟鲍明远八首 其八","清末民国初","曹家达","客感倏而至，丛集如猬毛。驰思八表外，举头但听风萧骚。天阊瞭望远莫致，愿为溟翼将翔翱。出山小草作大木，男儿生当为世豪。不似金张私第座上客，意气不直千钱刀。"
"秋柳五首 其一","清末民国初","曹家达","长条无恙过人头，小住南沙忆旧游。山郭重来增客感，板桥虚约望归舟。新愁往恨多于絮，暗雨盲风莫上楼。早是荒寒禁不得，夕阳又见水东流。"
"秋柳五首 其二","清末民国初","曹家达","萧萧病叶半书虫，无限江南踯躅丛。酒梦几层醒晓月，芳时未忍背东风。荒凉尘影怜隋苑，澹泊情怀溯永丰。多少纤腰零落尽，不堪重问楚王宫。"
"秋柳五首 其三","清末民国初","曹家达","青天难繫日西飞，江上芦荒雁帛稀。散漫只怜收不住，登临又是送将归。十年官渡风烟改，一掬征衫雨雪霏。自是秋怀易萧瑟，未应羌笛怨金微。"
"秋柳五首 其四","清末民国初","曹家达","疏烟凉晕暗相望，长路迢迢秋未央。乌下苏台愁似织，猿鸣巫峡泪沾裳。江郎才尽风华减，陶令归来姓氏忘。分占琅琊香一瓣，白门遗恨满青箱。"
"秋柳五首 其五","清末民国初","曹家达","仲雍山下古墙头，袅袅丰姿抱素秋。暮雨黯沉茶社鼓，斜阳红到酒家楼。丝牵野渡飘还续，尘染征衫去尚留。莫向离人歌此曲，江南乌夜不胜愁。"
"附鲤南四弟和作次渔洋山人韵四首 其一","清末民国初","曹家达","萧萧瑟瑟瘁离魂，蓦地秋风黯玉门。薄雨催残疏雁影，夕阳绚尽乱鸦痕。那堪羌笛吹中夜，又是哀蝉送别村。远道征夫归未得，旗亭往恨不须论。"
"附鲤南四弟和作次渔洋山人韵四首 其二","清末民国初","曹家达","星星薄晕早经霜，华发参差感野塘。万里烟尘回紫塞，十年风雨怨青箱。纤腰零落伤南国，故垒萧森忆汉王。攀尽长条还送别，离人肠断冶春坊。"
"附鲤南四弟和作次渔洋山人韵四首 其三","清末民国初","曹家达","何年清露拂朝衣，转盼青青作态非。灞岸嘶烟归马杳，苏台啼恨晚莺稀。半塘残月和愁暝，一片凉云绕梦飞。最是翠楼凝望处，封侯心事久相违。"
"附鲤南四弟和作次渔洋山人韵四首 其四","清末民国初","曹家达","清砧明月暗相怜，袅袅微波弄夕烟。长信宫词怨纨素，沈园嘉树罢吹绵。伤心白下馀残照，回首红桥又昔年。莫向雷塘寻胜迹，十分消瘦到眉边。"
"兴福寺次常少府韵","清末民国初","曹家达","昔闻破山寺，今践古丛林。野鸟唤行客，路旁秋草深。回溪抱人影，落日繫乡心。送我碧山下，寒泉空好音。"
"秋感","清末民国初","曹家达","一代蛾眉百妒并，况堪谣诼昔盈庭。苍茫世路馀萍梗，潦倒秋怀付醁醽。西北云山待诗卷，东南江海壮扬灵。天涯何处无芳草，起舞中宵每独醒。"
"偕叶德恭至白衣庵赏雨拟游缪祠不果二首 其一","清末民国初","曹家达","虞山登眺足清游，暮雨催归强逗留。惆怅凭栏凝睇处，荒烟疏树满城秋。"
"偕叶德恭至白衣庵赏雨拟游缪祠不果二首 其二","清末民国初","曹家达","亭角留题迹尚存，半遭雨蚀半尘昏。一般胜地无人迹，凝碧荒寒昼掩门。"
"辛峰亭歌","清末民国初","曹家达","叶生德恭好龙客，夜上西城看太白。星芒直落辛峰亭，宝气深埋剑花碧。当年老蛟发嵚岑，大小六子喷毒霪。风雷拔森海鬼啸，平地一泻洪涛深。子羽无人佽飞死，群妖夜吼怒不止。百灵号叫天地变，虞山戴鳌惧当徙。谁欤许老使七星，白日一洗江风腥。倒植西山七蛟死，至今犹如新发硎。德恭矜述先民语，示我真人镇蛟处。山南小儿怖夜啼，惧有灵怪攫人去。人世沧桑三百年，孤亭夐绝西山巅。莫教化龙上天去，苍生霖雨功德绵。"
"虞山门","清末民国初","曹家达","山门何代启，草路没高岗。独鸟骇人影，幽花扶女墙。萧台吴鹤市，言墓鲁灵光。吊古一长叹，秋风来大荒。"
"喜晴","清末民国初","曹家达","轻重云阴漏日华，忽开晴碧灿朝霞。一痕水气凝香篆，无数花光晕浅纱。正是小儿重见母，恰疑瘴海乍还家。近山翻幸添茶水，相约分煎火后茶。"
"代叶事周挽某寿母二首 其一","清末民国初","曹家达","萧晨木叶下，朔风秋草短。令德念共懿，所慕在彤管。嗣世负材杰，清门设宾馆。向以下里才，猥蒙截发款。爰是区区意，扬徽及湔盥。"
"代叶事周挽某寿母二首 其二","清末民国初","曹家达","大命倏告至，山崖暮萧瑟。光景垂翳翳，瞻望惮林密。谁将塞石罅，阻此还山日。愿托徐南州，生刍荐堂室。"
"兴福寺再叠常少府韵","清末民国初","曹家达","何年封植此，乔木已成林。一夜北风起，乱山黄叶深。寒潭新镜藻，荒礀古琴心。石磴经行处，鸟啼空好音。"
"遣兴","清末民国初","曹家达","如何到处便勾留，来往烟波笑白鸥。天女传呼大弟子，醉乡崇拜小诸侯。采芳山郭疏钟晚，觅句湖亭野草秋。为语君描焚笔砚，莫将才思挂閒愁。"
"登维摩寺望海楼浩歌放长吉体","清末民国初","曹家达","山楼高杵燕支红，天吴驱潮东海东。乞卖桑田帝不许，鲛泪明珰遗下女。呼龙吹篪淩高烟，山光寒绿飞上天。云脚下垂海水立，荒崖冥冥海童泣。搥碎珊瑚出鳞屋，数钱市儿竞捃拾。风吹百年如流星，维摩沉醉空结形。"
"登眺虞山门有怀德恭","清末民国初","曹家达","风萍殊偶尔，登眺亦相从。南郭一为别，西山无此踪。孤吟籍衰草，遗响咽寒松。天末夕阳下，横江浮乱峰。"
"寄兴二首 其一","清末民国初","曹家达","岁暮劳人酒胆豩，何年海月附舟还。随刀改味如何树，去梦和云隔是山。才思自怜痡峭短，词锋虚望滑稽娴。坐看时物成奄忽，林下蝉花见一斑。"
"寄兴二首 其二","清末民国初","曹家达","唾井将如旧意何，频加千里悔蹉跎。出尘芒锷思灵陌，故国羁愁类海多。却曲几违途漫漫，天涯重见石峨峨。故人朝上吴门舶，独夜寒声发瘁柯。"
"拟枚乘杂诗六首 其一","清末民国初","曹家达","黄钟动寒气，蕤宾既重裘。备禦非不早，将为达者尤。随分值所适，勿勿将安求。华灯错绮筵，光照西北楼。姜人弄瑶瑟，日夕发清讴。所赖主人贤，聊以胜烦忧。"
"拟枚乘杂诗六首 其二","清末民国初","曹家达","为高不务峻，跛羊陵其巅。为下不务深，孺子溷其渊。所以古之人，操行贵自全。白龙处穷谷，下有寒潭烟。时至风霆发，尺木飞上天。拙哉鱼服游，大为世纲牵。"
"拟枚乘杂诗六首 其三","清末民国初","曹家达","假道枳棘林，乃求凤凰雏。谁云径寸蚌，生此明月珠。所资良未然，实获殆不敷。日暮空还家，妄意世所无。朝阳灿梧桐，秋露垂江湖。过时不相顾，美玉成珷玞。"
"拟枚乘杂诗六首 其四","清末民国初","曹家达","飘风即云厉，不扬湛水尘。河伯固滔虐，不溺陆地人。世事苦相累，缘合各有因。澹冲寡营息，畴是无怀民。生无针芥性，凝静希大纯。努力爱尺璧，所贵在履新。"
"拟枚乘杂诗六首 其五","清末民国初","曹家达","蛛丝出罗罻，鸟迹肇文字。所资不在大，往往绝群类。专精方入神，爱博古所忌。关山送行处，下有杨朱泪。歧路迷所往，睹此怵心意。大巧固若拙，毋为前鱼弃。"
"拟枚乘杂诗六首 其六","清末民国初","曹家达","步出东郭门，杨柳何青青。风花二三月，摇落催芳馨。愿得絮沾泥，勿为江上萍。沾泥守故土，逐水成飘零。"
"梦中得","清末民国初","曹家达","沧海渺然去，云霄一羽毛。乱流出平野，落日响寒涛。边障风云接，山崖禽鸟号。谁怜匣中剑，郁怒感萧骚。"
"望湖亭晚眺","清末民国初","曹家达","独立感寥廓，那堪又送秋。寒风送山谷，猎火上城楼。辽海荒边备，孤亭回暮愁。谁家江上月，夜夜大刀头。"
"别叶氏书斋","清末民国初","曹家达","亦知同逆旅，临别转凄然。落日照寒思，疏灯催夜眠。湖山离合感，江海泬寥天。愿托偕行侣，前途更著鞭。"
"落叶仿虞许旸谷三首 其一","清末民国初","曹家达","弥望疏林玉露伤，华年踪迹费思量。惊尘胡马来洮水，落日风帆下建康。素女何必供野火，青山真面破天荒。故乡亦有登楼感，长忆天涯泪几行。"
"落叶仿虞许旸谷三首 其二","清末民国初","曹家达","当年张绪好丰神，每向灵和晤对频。既冷客心投陌路，望春闺思属车尘。已看坠地还依树，终是沾泥不化蘋。岁岁岁寒同此意，有人林下抱天真。"
"落叶仿虞许旸谷三首 其三","清末民国初","曹家达","一片清阴护好山，横摧应恨晓霜顽。旧根强附怜飘泊，生意蠲除谢折攀。青眼几时谋爨下，红颜题怨到人间。指看花月春江夜，天借东风为送还。"
"怨晓月","清末民国初","曹家达","寒灯压花光欲沉，空房罗幕深复深。金鸡唤回关山梦，星河耿耿照妾心。寒叶敲窗并心碎，金井无人空夕阴。镜奁香冷清愁冻，如片如缕来相侵。愿结愁怀化好月，移照天涯诉藁砧。诉藁砧，怨晓月，一夜相思变华发。红颜相照会几时，使妾怀忧病心骨。"
"别张雄伯同年即次其秋思韵二首 其一","清末民国初","曹家达","日暮乡关远，羁栖困海多。故人劳借问，为客意云何。晚食辛盘荐，清灯子夜歌。天涯从此去，挥手渺长河。"
"别张雄伯同年即次其秋思韵二首 其二","清末民国初","曹家达","君道忽中改，嗟予独苦吟。文章成灰槁，琴剑听消沉。动地发遐响，钧天无赏音。片言感嘲讽，寥落古人心。"
"次王冠兰感怀韵二首 其一","清末民国初","曹家达","江上几人惊岁晚，望秋蒲柳感先零。秦关一夜乌头白，楚客三年鵩眼青。安得幽忧起枚笔，祗宜痛饮读骚经。海鸥笑我不归去，摇落沧波一叶萍。"
"次王冠兰感怀韵二首 其二","清末民国初","曹家达","客中萧槭感残年，忍听号寒鸣可怜。漱石枕流聊复尔，呼牛应马各随缘。不曾宿海招灵鹊，愿化湖云比散仙。世事苍茫谁问讯，乱鸦斜日满江天。"
"行路难拟王筠","清末民国初","曹家达","阶前寒雨压灯花，此时望远天无涯。一掬愁情化江水，龙宫夜静鱼吹沙。关山不闻刀尺声，机头流黄空月华。北风吹人霜草折，闺人愁绝空林鸦。妾心满照君怀处，中途恐被浮云遮。日月在天水在地，此情此语还相记。拔心卷施当告谁，愿君分明鉴此意。怀中半镜老青娥，妾羞锦字缄红泪。"
"行路难拟释宝月","清末民国初","曹家达","君不见霜华洗寒月，淩淩砭肌骨。客途岁晏光景沉，幽房夜寒绮思发。江水连云照黑头，南乌一夕催华发。耿耿么弦秋怨多，绵绵独茧朝机歇。长绳不系日西飞，最好光阴忽沦忽。行路难，行路难，举头不觉青天远，马迁戴盆发长叹。"
"行路难儗费昶","清末民国初","曹家达","君不见，风吹朝华白日变，春愁如缕复如片。始妾自谓可君意，容光伯仲照阳燕。流苏白玉香屑霏，葡萄海马精金鍊。衣袂压香囊，裙带双鸳鸯。物物各殊异，要以永不忘。一朝见宠怜，当无生弃捐。宓妃椒涂岂速化，陈王豆萁叹急煎。安得东风惜杨柳，从教脱絮飞上天。兰膏粉黛常自弃，传红写翠为谁妍。长羡江淮尺半鱼，逍遥比目游深渊。"
"行路难拟吴均","清末民国初","曹家达","昆山之阳石齿齿，倒落尘埃惰不起。昔日吞咽高天云，今旦弃掷潢污水。洛阳名工名卞和，一日三顾重挲摩。庙堂宝器不终没，手持沙石亲研磨。圭之璧之称厥材，光阶光照千门开。天子曰咨联有庆，一朝携上建章台。建章他年世宝垂，雍容华贵生光仪。沈檀为匮锦为里，岂念生来顽石姿。不学荆台三献璞，惨遭谗毁无人知。"
"儗曹子建杂诗五首 其一","清末民国初","曹家达","元冥既代德，飘风吹北林。林阴带曲室，清商郁素琴。百感沸零节，梗咽成离音。借问何所弹，将毋游子吟。芳春抛白纻，耐兹寒暑侵。鸡鸣复犬吠，戒备一何深。辛苦不见亮，日暮难为心。"
"儗曹子建杂诗五首 其二","清末民国初","曹家达","河汉夜西流，织女滨其右。牵牛负聘钱，七襄苦不就。相望不相即，感此凉秋候。南箕载翕舌，井垣不成甃。灵匹尚云尔，胡为多病疚。愿为东南风，吹落君怀袖。"
"儗曹子建杂诗五首 其三","清末民国初","曹家达","微云霭清景，淩寒当户牖。佳人去代郡，雁行翔陇首。日月不相假，何言别离久。岂不慕春华，过时成老丑。所愿湘江泪，化作兰陵酒。尺素故迟迟，虚词更何有。"
"儗曹子建杂诗五首 其四","清末民国初","曹家达","结思属遥夜，揽衣巡层楹。星月耿微光，照见幽独情。霜华转寒绿，烟草横阶生。高天见鸿雁，厉疾方南征。感此时节变，忧来如沸羹。妾心如菟丝，愿借松柏荣。君心如浮云，所过随风行。浮云良无根，菟丝常相萦。君言妾心改，指天以为正。"
"儗曹子建杂诗五首 其五","清末民国初","曹家达","中庭一株梅，芳春多丽娴。飙飔飒车尘，閒此山上山。众嫉在娥眉，善媱恣谤讪。怀中青铜镜，惠照旧容颜。"
"除夜书怀","清末民国初","曹家达","困逐风尘似弈棋，还乡刚及送寒时。剧怜漫触争双角，强割鹪鹩剩一枝。但有小诗酬客岁，难凭孤意慰相离。幽居怕说新年近，暮雨横窗重有思。"
